#job id,arrival time (sec),topology,shape,size,duration (sec)
533,10442134,CLOS,1.0,1.0,2528.0
534,10445790,CLOS,0.47,0.47,784.0
535,10447116,CLOS,1.0,1.0,1688.0
536,10448041,CLOS,1.0,1.0,2424.0
537,10448391,CLOS,1.0,1.0,506.0
538,10448437,CLOS,0.47,0.47,72.0
539,10449254,CLOS,1.0,1.0,162.0
540,10450358,CLOS,1.0,1.0,1255.0
541,10450689,CLOS,0.32,0.32,7443.0
542,10451453,CLOS,1.0,1.0,3276.0
543,10451555,CLOS,1.0,1.0,167.0
544,10454850,CLOS,0.47,0.47,54.0
545,10455001,CLOS,0.65,0.65,610.0
546,10455086,CLOS,0.65,0.65,575.0
547,10456381,CLOS,1.0,1.0,4251.0
548,10458105,CLOS,0.47,0.47,54.0
549,10459596,CLOS,1.0,1.0,1201.0
550,10460075,CLOS,1.0,1.0,2339.0
551,10462043,CLOS,1.0,1.0,161.0
552,10463316,CLOS,1.0,1.0,542.0
553,10463316,CLOS,1.0,1.0,900.0
554,10463437,CLOS,1.0,1.0,9836.0
555,10470372,CLOS,1.0,1.0,4445.0
556,10476744,CLOS,1.0,1.0,2119.0
557,10479784,CLOS,1.0,1.0,5545.0
558,10481045,CLOS,0.59,0.59,5757.0
559,10481242,CLOS,1.0,1.0,4867.0
560,10481454,CLOS,1.0,1.0,2042.0
561,10486687,CLOS,1.0,1.0,537.0
562,10488913,CLOS,0.11,0.11,22724.0
563,10490573,CLOS,1.0,1.0,3618.0
564,10491859,CLOS,0.32,0.32,25559.0
565,10493831,CLOS,1.0,1.0,2573.0
566,10495656,CLOS,1.0,1.0,12419.0
567,10496918,CLOS,1.0,1.0,2294.0
568,10496935,CLOS,1.0,1.0,2130.0
569,10497137,CLOS,1.0,1.0,51.0
570,10498252,CLOS,1.0,1.0,539.0
571,10498879,CLOS,1.0,1.0,38.0
572,10499073,CLOS,1.0,1.0,540.0
573,10501135,CLOS,1.0,1.0,2050.0
574,10502555,CLOS,0.46,0.46,64498.0
575,10502722,CLOS,1.0,1.0,2280.0
576,10512265,CLOS,1.0,1.0,51.0
577,10512454,CLOS,1.0,1.0,2121.0
578,10513293,CLOS,0.46,0.46,540.0
